,,GEPIC,GEPIC,GEPIC,GEPIC,LPJmL,LPJmL,LPJmL,LPJmL
,,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5,GFDL-ESM2M,HadGEM2-ES,IPSL-CM5A-LR,MIROC5
rcp26,mai,0.07668696191507161,0.07002291474367699,0.04825377695995631,0.059374330923582574,0.1526816925997527,0.09719775537182154,0.053267404394431034,0.09321395372093985
rcp26,soy,0.14377836366965688,0.06359858250395163,0.02643469196220548,0.04694253341652703,0.19205682702258886,0.10858703554480358,0.030338848534100113,0.07497104176432584
rcp26,ric,0.13415212549674724,0.07458037453398823,0.03602810761632636,0.035359920214030366,0.16208736468417378,0.11728386126794345,0.031306099388744,0.0449490412765922
rcp26,whe,0.14556851554516625,0.09754837406583917,0.03862322613348937,0.10035432851353981,0.13625903294886427,0.13004816793033624,0.06896543229876304,0.10429986874852684
rcp26,cas,-,-,-,-,0.8241575633327903,0.7911926853361809,0.37285977927244934,0.8237339755793712
rcp26,mil,-,-,-,-,0.21976038730019284,0.12961275195194605,0.03683133340510232,0.10129134794188979
rcp26,nut,-,-,-,-,0.2018969955491068,0.16542976823127026,0.025032954470315668,0.10068967757739455
rcp26,pea,-,-,-,-,0.11202499878094366,0.07489929042138725,0.032196319356041635,0.04787085173066753
rcp26,rap,-,-,-,-,0.13593156446330898,0.0893056976046848,0.04151222406921898,0.12561836733195558
rcp26,sgb,-,-,-,-,0.09905286957753381,0.08440028713113641,0.020669777266059668,0.03702784892188304
rcp26,sug,-,-,-,-,0.19839058496506895,0.04560350542728892,0.030905358604724258,0.004184301889656237
rcp26,sun,-,-,-,-,0.13882608777736655,0.10008809354879242,0.02576927737412524,0.07718352690525539
rcp60,mai,-0.046043963042786254,-0.03923839359551212,-0.03423848720740515,-0.03385221815528594,-,-,-,-
rcp60,soy,-0.05840688247434472,-0.056335176539323274,-0.04592170535138226,-0.03770229160391272,-,-,-,-
rcp60,ric,-0.06089859900598491,-0.05903268270312753,-0.049991825953470036,-0.048597905973229896,-,-,-,-
rcp60,whe,-0.01701974378277141,-0.01318764168070928,-0.01968132616549382,-0.003500728440500947,-,-,-,-
rcp60,cas,-,-,-,-,-,-,-,-
rcp60,mil,-,-,-,-,-,-,-,-
rcp60,nut,-,-,-,-,-,-,-,-
rcp60,pea,-,-,-,-,-,-,-,-
rcp60,rap,-,-,-,-,-,-,-,-
rcp60,sgb,-,-,-,-,-,-,-,-
rcp60,sug,-,-,-,-,-,-,-,-
rcp60,sun,-,-,-,-,-,-,-,-
